datetime;cartPos;cartVel;pendPos;pendVel;action;cartController;exploration
2018-05-26 10:23:19.478;194,50;0,00;179;-14;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:19.498;192,78;-1,72;164;-15;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:19.518;192,78;0,00;149;-15;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:19.538;199,31;6,53;134;-15;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:19.558;207,56;8,25;121;-13;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:19.578;212,71;5,15;108;-13;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:19.597;221,99;9,28;96;-12;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:19.617;236,77;14,78;85;-11;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.637;247,42;10,65;75;-10;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.657;262,20;14,78;66;-9;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.677;264,95;2,75;58;-8;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.697;276,63;11,68;51;-7;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.717;278,01;1,38;44;-7;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.737;280,76;2,75;38;-6;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.757;281,44;0,68;33;-5;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.777;281,44;0,00;28;-5;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.797;280,76;-0,68;24;-4;-1,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.817;280,76;0,00;20;-4;-1,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.837;280,76;0,00;16;-4;-1,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.857;283,85;3,09;11;-5;-1,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.875;283,85;0,00;6;-5;0,82;CartControllerGamepadPID;0
2018-05-26 10:23:19.895;268,04;-15,81;1;-5;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.918;256,70;-11,34;357;-4;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.938;244,67;-12,03;355;-2;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.958;241,24;-3,43;354;-1;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:19.977;238,83;-2,41;355;1;-0,36;CartControllerGamepadPID;0
2018-05-26 10:23:19.997;238,83;0,00;356;1;-0,02;CartControllerGamepadPID;0
2018-05-26 10:23:20.017;246,39;7,56;355;-1;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.037;251,55;5,16;354;-1;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.057;260,48;8,93;354;0;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.077;265,29;4,81;354;0;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.097;269,76;4,47;356;2;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:20.117;282,82;13,06;357;1;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.137;286,25;3,43;357;0;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.157;299,66;13,41;356;-1;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.177;310,65;10,99;357;1;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:20.197;321,99;11,34;359;2;-0,38;CartControllerGamepadPID;0
2018-05-26 10:23:20.215;329,21;7,22;0;1;0,56;CartControllerGamepadPID;0
2018-05-26 10:23:20.237;338,14;8,93;359;-1;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.257;351,89;13,75;359;0;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.277;358,76;6,87;359;0;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.295;366,32;7,56;0;1;0,51;CartControllerGamepadPID;0
2018-05-26 10:23:20.315;376,29;9,97;2;2;-1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.335;389,00;12,71;2;0;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.355;403,09;14,09;1;-1;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.375;414,43;11,34;0;-1;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.395;418,90;4,47;1;1;-0,26;CartControllerGamepadPID;0
2018-05-26 10:23:20.415;425,09;6,19;1;0;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.435;434,71;9,62;1;0;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.455;445,70;10,99;1;0;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.475;452,23;6,53;2;1;-0,40;CartControllerGamepadPID;0
2018-05-26 10:23:20.495;460,82;8,59;4;2;-1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.515;469,07;8,25;3;-1;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.535;486,25;17,18;1;-2;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.555;492,78;6,53;0;-1;1,00;CartControllerGamepadPID;0
2018-05-26 10:23:20.574;493,47;0,69;0;0;1,00;CartControllerGamepadPID;0
